time;level;logger;message;callsite;exception
2022-02-21 20:28:16.0233;Error;Facelift_App.Controllers.InvoiceController;The given key was not present in the dictionary.;Facelift_App.Controllers.InvoiceController.DatatableEmail;"System.Collections.Generic.KeyNotFoundException: The given key was not present in the dictionary.
   at System.ThrowHelper.ThrowKeyNotFoundException()
   at System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   at Facelift_App.Controllers.InvoiceController.DatatableEmail() in C:\Users\Muhammad Bhovdair\Documents\Kretayuga\Projects\Unilever\UNILEVER_Facelift\Facelift_App\Controllers\InvoiceController.cs:line 838"
2022-02-21 20:28:19.3019;Error;Facelift_App.Controllers.InvoiceController;The given key was not present in the dictionary.;Facelift_App.Controllers.InvoiceController.DatatableEmail;"System.Collections.Generic.KeyNotFoundException: The given key was not present in the dictionary.
   at System.ThrowHelper.ThrowKeyNotFoundException()
   at System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   at Facelift_App.Controllers.InvoiceController.DatatableEmail() in C:\Users\Muhammad Bhovdair\Documents\Kretayuga\Projects\Unilever\UNILEVER_Facelift\Facelift_App\Controllers\InvoiceController.cs:line 838"
