time,level,logger,message,callsite,exception
2020-06-23 08:58:57.4939,Error,Facelift_App.Repositories.AccidentRepository,Object reference not set to an instance of an object.,Facelift_App.Repositories.AccidentRepository.GetFilteredDataItem,"System.NullReferenceException: Object reference not set to an instance of an object.
   at System.Object.GetType()
   at System.Data.Entity.Core.EntityKey.ValidateTypeOfKeyValue(MetadataWorkspace workspace, EdmMember keyMember, Object keyValue, Boolean isArgumentException, String argumentName)
   at System.Data.Entity.Core.EntityKey.ValidateEntityKey(MetadataWorkspace workspace, EntitySet entitySet, Boolean isArgumentException, String argumentName)
   at System.Data.Entity.Core.Objects.ObjectStateManager.CheckKeyMatchesEntity(IEntityWrapper wrappedEntity, EntityKey entityKey, EntitySet entitySetForType, Boolean forAttach)
   at System.Data.Entity.Core.Objects.ObjectStateManager.AddEntry(IEntityWrapper wrappedObject, EntityKey passedKey, EntitySet entitySet, String argumentName, Boolean isAdded)
   at System.Data.Entity.Core.Common.Internal.Materialization.Shaper.HandleEntityAppendOnly[TEntity](Func`2 constructEntityDelegate, EntityKey entityKey, EntitySet entitySet)
   at lambda_method(Closure , Shaper )
   at System.Data.Entity.Core.Common.Internal.Materialization.Coordinator`1.ReadNextElement(Shaper shaper)
   at System.Data.Entity.Core.Common.Internal.Materialization.Shaper`1.SimpleEnumerator.MoveNext()
   at System.Linq.Buffer`1..ctor(IEnumerable`1 source)
   at System.Linq.OrderedEnumerable`1.<GetEnumerator>d__1.MoveNext()
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Facelift_App.Repositories.AccidentRepository.GetFilteredDataItem(String TransactionId, String search, String sortDirection, String sortColName) in D:\Duta Kalingga Pratama\Projects\Unilever\Facelift\Application\UNILEVER_Facelift\Facelift_App\Repositories\AccidentRepository.cs:line 439"
2020-06-23 09:04:46.7815,Error,Facelift_App.Repositories.AccidentRepository,The given key was not present in the dictionary.,Facelift_App.Repositories.AccidentRepository.GetFilteredDataItem,"System.Collections.Generic.KeyNotFoundException: The given key was not present in the dictionary.
   at System.ThrowHelper.ThrowKeyNotFoundException()
   at System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   at Facelift_App.Repositories.AccidentRepository.GetFilteredDataItem(String TransactionId, String search, String sortDirection, String sortColName) in D:\Duta Kalingga Pratama\Projects\Unilever\Facelift\Application\UNILEVER_Facelift\Facelift_App\Repositories\AccidentRepository.cs:line 441"
2020-06-23 09:09:31.4881,Error,Facelift_App.Repositories.AccidentRepository,"Value cannot be null.
Parameter name: source",Facelift_App.Repositories.AccidentRepository.GetFilteredDataItem,"System.ArgumentNullException: Value cannot be null.
Parameter name: source
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Facelift_App.Repositories.AccidentRepository.GetFilteredDataItem(String TransactionId, String search, String sortDirection, String sortColName) in D:\Duta Kalingga Pratama\Projects\Unilever\Facelift\Application\UNILEVER_Facelift\Facelift_App\Repositories\AccidentRepository.cs:line 445"
